18:51:44 INFO  application.ApplicationManager - Start in browser CHROME
18:51:47 INFO  TestBase - Start test LoginTestPositive
18:51:47 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:50 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:50 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:51:50 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:51:50 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:50 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:50 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:51:50 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:51:50 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:50 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:50 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:51:50 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:51:50 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:51:50 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:51:50 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()='Sign Out']
18:51:51 INFO  application.MyListener - The element By.xpath: //button[text()='Sign Out'] was found
18:51:51 INFO  TestBase - Test passed
18:51:51 INFO  TestBase - End of test LoginTestPositive
18:51:51 INFO  TestBase - Start test loginTestDP_CSV
18:51:51 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:51 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:51 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:51:51 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:51:51 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
